id,label,followers,genres,popularity,image_url
3N4eiKlBhalVh3ezRXV99N,Majida Issa,9660,"ranchera, popular colombian music, mariachi",25,https://i.scdn.co/image/ab6761610000e5ebad664f1bb56686b237778682
1S0Og7sspn3YyJmEcE43zD,Mayito Rivera,20870,"timba, son cubano, salsa",34,https://i.scdn.co/image/ab67616d0000b27329f97f660237cf14b5fd334f
66pTfzDThmocl1BJ3cp7vh,Septeto Santiaguero,13188,"son cubano, timba, salsa",27,https://i.scdn.co/image/ab67616d0000b2736769d7f0a89ca59e48a2cf5f
27mRThsZ9K1BYmz0rioxwp,Chucho Valdés,84803,"latin jazz, son cubano, jazz, nueva trova",41,https://i.scdn.co/image/ab6761610000e5eb5c7d73ff8dba91a00a338523
1nGt9Auu0hzIZ6lI2WZWOq,Los Muñequitos De Matanzas,14769,"timba, latin jazz, son cubano",36,https://i.scdn.co/image/ab67616d0000b273be10c8269939a5ae8512b5d1
0WmJKDQPb9P3h0cWkJ8N2m,La Conga de Los Hoyos,23,,4,
4yOMX2Br1uxYG4IeRgqtfE,Samuel Formell,132,,9,
1ZerS6WmqD0I2TNNfB25WH,Conjunto Son Del Guazo,6,,1,
3IEvQoAohcGX7CdrbtIle7,Baby Rasta y Gringo,3429480,reggaeton,63,https://i.scdn.co/image/ab6761610000e5ebbc346ec065b191dc86d0272e
1peH5tSqnYm8W6Bo3I5egE,Kat Dahlia,318422,,51,https://i.scdn.co/image/ab6761610000e5eb06d5436ba5fd95ccca0a25ff
0QKxTtpRfKXaV42umNlmwD,El Mola,1626,"timba, salsa",23,https://i.scdn.co/image/ab6761610000e5eb2f6e278056e056444a61c64f
3Ik2TovwBiWawoShYwa4Hh,Pedrito Martinez,27807,"latin jazz, timba, son cubano",36,https://i.scdn.co/image/ab6761610000e5eb7b1a6f0001a838a342759b79
683jEN1S3bamBds3lIiPDk,Alexis Valdés,1281,"timba, son cubano, nueva trova, salsa",15,https://i.scdn.co/image/ab6761610000e5eb7ece9583f3295bcbf7c1e9e1
1S0uvW1rgvtkNGma9su3fJ,Rey Ruiz,1136886,"salsa, salsa romantica, cha cha cha, merengue",60,https://i.scdn.co/image/ab6761610000e5eb6f21686754a9aedff6ca9cba
0L3PoFZZQ0WyS7HgnOdd1o,"Rafael ""Pollo"" Brito",110350,bolero,40,https://i.scdn.co/image/ab6761610000e5ebb7b238552b208c126d7d03c3
5cj1zHnp57EyP2MlDsczYP,Lourdes Nuviola,118,"latin jazz, bolero",1,https://i.scdn.co/image/ab67616d0000b273eac0ba3df7f66be01d61aeee
0swLXFWLqieTUTVW3OeLGI,Capitan V,48,salsa romantica,24,https://i.scdn.co/image/ab67616d0000b2734cfbf41dfd5a9246dfaec3d5
4lFL1u6Cu3OxFe5idzZjJg,Álvaro Tadeo,105,"timba, salsa",3,https://i.scdn.co/image/ab6761610000e5eb87fbd9073980fd654f90150d
28wtFivtmdKxFRfu57AhBe,Cimafunk,99995,,51,https://i.scdn.co/image/ab6761610000e5eb858f519e6bbcb456a1e2b7e7
0haZhu4fFKt0Ag94kZDiz2,Sofía Reyes,3136973,latin pop,64,https://i.scdn.co/image/ab6761610000e5eb930361691d9b29502bd2632d
59MLbXG0jLVwJup3KAd6m1,Mr.Rain,1217188,,55,https://i.scdn.co/image/ab6761610000e5eb29c68c6ccc59cfbaa012221f
6mPoLPA14GtmeZgz05EAgG,3KMKZ,152,,12,https://i.scdn.co/image/ab6761610000e5eb739c73bdc1739357983f8e5a
6slyJwua5e5GuhuP82sTHR,Alex Campos,2167061,"christian, worship",65,https://i.scdn.co/image/ab6761610000e5eb7685e1b78d7ef1cc536d4359
13yrUyUFpld9jQtmQkqR5K,Pablo Motos,440,,16,https://i.scdn.co/image/ab67616d0000b27365d8df32257f867c9f344763
